year,month,mode_canonical,patronage
2022,4,regional_train,1220454
2022,5,regional_train,1288118
2022,6,regional_train,1239135
2022,7,regional_train,1314106
2022,8,regional_train,1349992
2022,9,regional_train,1378784
2022,10,regional_train,1388467
2022,11,regional_train,1366061
2022,12,regional_train,1372918
2023,1,regional_train,1295225
2023,2,regional_train,1424645
2023,3,regional_train,1869164
2023,4,regional_train,1469224
2023,5,regional_train,1743181
2023,6,regional_train,1693444
2023,7,regional_train,1846565
2023,8,regional_train,1807251
2023,9,regional_train,1775964
2023,10,regional_train,1849701
2023,11,regional_train,1808656
2023,12,regional_train,1759529
2024,1,regional_train,1758433
2024,2,regional_train,1781717
2024,3,regional_train,2042080
2024,4,regional_train,2009412
2024,5,regional_train,2164662
2024,6,regional_train,1882061
2024,7,regional_train,2084437
2024,8,regional_train,2122092
2024,9,regional_train,1970804
2024,10,regional_train,2277335
2024,11,regional_train,2001615
2024,12,regional_train,1977501
2025,1,regional_train,1923083
2025,2,regional_train,1927292
2025,3,regional_train,2340160
2025,4,regional_train,2107410
2025,5,regional_train,2334482
2025,6,regional_train,1995473
2025,7,regional_train,2222082
2025,8,regional_train,2230571
2025,9,regional_train,2136275
2025,10,regional_train,2286247
2025,11,regional_train,2060472
2025,12,regional_train,2157499
2026,1,regional_train,1604510
2018,1,regional_coach,116568
2018,2,regional_coach,103197
2018,3,regional_coach,117180
2018,4,regional_coach,107480
2018,5,regional_coach,109456
2018,6,regional_coach,101215
2018,7,regional_coach,109103
2018,8,regional_coach,110348
2018,9,regional_coach,104525
2018,10,regional_coach,121267
2018,11,regional_coach,111699
2018,12,regional_coach,113023
2019,1,regional_coach,110708
2019,2,regional_coach,103886
2019,3,regional_coach,112302
2019,4,regional_coach,111012
2019,5,regional_coach,111604
2019,6,regional_coach,98137
2019,7,regional_coach,108706
2019,8,regional_coach,107987
2019,9,regional_coach,104419
2019,10,regional_coach,115819
2019,11,regional_coach,106782
2019,12,regional_coach,110447
2020,1,regional_coach,105751
2020,2,regional_coach,99955
2020,3,regional_coach,74665
2020,4,regional_coach,17602
2020,5,regional_coach,29670
2020,6,regional_coach,51732
2020,7,regional_coach,41425
2020,8,regional_coach,17890
2020,9,regional_coach,23051
2020,10,regional_coach,36990
2020,11,regional_coach,51260
2020,12,regional_coach,74068
2021,1,regional_coach,60026
2021,2,regional_coach,54099
2021,3,regional_coach,75765
2021,4,regional_coach,75002
2021,5,regional_coach,66206
2021,6,regional_coach,46233
2021,7,regional_coach,45599
2021,8,regional_coach,33264
2021,9,regional_coach,23838
2021,10,regional_coach,33948
2021,11,regional_coach,55165
2021,12,regional_coach,67426
2022,1,regional_coach,51750
2022,2,regional_coach,57210
2022,3,regional_coach,73664
2022,4,regional_coach,73735
2022,5,regional_coach,71603
2022,6,regional_coach,70919
2022,7,regional_coach,75239
2022,8,regional_coach,74401
2022,9,regional_coach,74648
2022,10,regional_coach,68919
2022,11,regional_coach,74053
2022,12,regional_coach,85612
2023,1,regional_coach,84946
2023,2,regional_coach,77949
2023,3,regional_coach,88964
2023,4,regional_coach,89335
2023,5,regional_coach,95859
2023,6,regional_coach,94894
2023,7,regional_coach,99755
2023,8,regional_coach,98413
2023,9,regional_coach,100982
2023,10,regional_coach,106717
2023,11,regional_coach,104648
2023,12,regional_coach,111120
2024,1,regional_coach,113350
2024,2,regional_coach,104337
2024,3,regional_coach,112283
2024,4,regional_coach,114813
2024,5,regional_coach,109868
2024,6,regional_coach,104351
2024,7,regional_coach,110936
2024,8,regional_coach,108656
2024,9,regional_coach,107465
2024,10,regional_coach,126770
2024,11,regional_coach,112359
2024,12,regional_coach,121320
2025,1,regional_coach,122422
2025,2,regional_coach,104244
2025,3,regional_coach,119824
2025,4,regional_coach,116481
2025,5,regional_coach,111430
2025,6,regional_coach,110283
2025,7,regional_coach,113079
2025,8,regional_coach,106863
2025,9,regional_coach,105410
2025,10,regional_coach,118470
2025,11,regional_coach,107793
2025,12,regional_coach,122578
2026,1,regional_coach,110891
2018,1,regional_bus,721229
2018,2,regional_bus,1118494
2018,3,regional_bus,1224816
2018,4,regional_bus,946218
2018,5,regional_bus,1258704
2018,6,regional_bus,1077970
2018,7,regional_bus,967622
2018,8,regional_bus,1261319
2018,9,regional_bus,1033758
2018,10,regional_bus,1232418
2018,11,regional_bus,1182863
2018,12,regional_bus,878944
2019,1,regional_bus,748369
2019,2,regional_bus,1201991
2019,3,regional_bus,1232933
2019,4,regional_bus,961318
2019,5,regional_bus,1287180
2019,6,regional_bus,1084632
2019,7,regional_bus,1083306
2019,8,regional_bus,1275349
2019,9,regional_bus,1089826
2019,10,regional_bus,1212228
2019,11,regional_bus,1126220
2019,12,regional_bus,873469
2020,1,regional_bus,764361
2020,2,regional_bus,1276038
2020,3,regional_bus,947946
2020,4,regional_bus,227342
2020,5,regional_bus,368116
2020,6,regional_bus,763812
2020,7,regional_bus,769837
2020,8,regional_bus,343285
2020,9,regional_bus,380397
2020,10,regional_bus,848872
2020,11,regional_bus,911034
2020,12,regional_bus,666297
2021,1,regional_bus,484867
2021,2,regional_bus,797454
2021,3,regional_bus,1009127
2021,4,regional_bus,697503
2021,5,regional_bus,811685
2021,6,regional_bus,693393
2021,7,regional_bus,599227
2021,8,regional_bus,707880
2021,9,regional_bus,451102
2021,10,regional_bus,656824
2021,11,regional_bus,855704
2021,12,regional_bus,688849
2022,1,regional_bus,549859
2022,2,regional_bus,985731
2022,3,regional_bus,1060923
2022,4,regional_bus,838558
2022,5,regional_bus,1121794
2022,6,regional_bus,926422
2022,7,regional_bus,975473
2022,8,regional_bus,1098964
2022,9,regional_bus,858200
2022,10,regional_bus,1159113
2022,11,regional_bus,1035487
2022,12,regional_bus,863993
2023,1,regional_bus,820221
2023,2,regional_bus,1096006
2023,3,regional_bus,1247122
2023,4,regional_bus,938444
2023,5,regional_bus,1222849
2023,6,regional_bus,1049480
2023,7,regional_bus,1148259
2023,8,regional_bus,1255113
2023,9,regional_bus,1103635
2023,10,regional_bus,1242909
2023,11,regional_bus,1190730
2023,12,regional_bus,1009701
2024,1,regional_bus,841044
2024,2,regional_bus,1115173
2024,3,regional_bus,1116628
2024,4,regional_bus,1056862
2024,5,regional_bus,1247979
