fin_year,stop_id,stop_name,stop_lat,stop_long,network,pax_annual,pax_weekday,pax_norm_weekday,pax_sch_hol_weekday,pax_saturday,pax_sunday,pax_pre_am_peak,pax_am_peak,pax_interpeak,pax_pm_peak,pax_pm_late,stop_name_clean,stop_name_suffix,is_border_nsw
FY19-20,19953,Gardenvale,-37.89669508,145.0041684,metro,421550,1400,1400,1450,750,500,100,700,250,300,50,Gardenvale,,False
FY19-20,19954,Elsternwick,-37.88475311,145.0008979,metro,797150,2600,2650,2550,1500,1000,150,1300,550,500,150,Elsternwick,,False
FY19-20,19955,Ripponlea,-37.87590643,144.9952366,metro,531200,1800,1850,1500,900,600,100,1000,350,300,50,Ripponlea,,False
FY19-20,19956,Balaclava,-37.86948773,144.9935121,metro,923000,3050,3150,2700,1650,1200,200,1500,650,650,150,Balaclava,,False
FY19-20,19957,Windsor,-37.85605308,144.9920352,metro,714100,2400,2550,1850,1250,800,100,1050,450,750,200,Windsor,,False
FY19-20,19958,Prahran,-37.84951848,144.9898599,metro,951300,3200,3350,2600,1600,1050,100,950,650,1400,250,Prahran,,False
FY19-20,19959,South Yarra,-37.83844935,144.9923422,metro,3151600,10650,11650,7250,5250,3450,350,3350,2600,4450,950,South Yarra,,False
FY19-20,19960,Upfield,-37.66607779,144.9467399,metro,284700,950,1000,850,500,350,100,300,250,300,50,Upfield,,False
FY19-20,19961,Gowrie,-37.700678,144.9588743,metro,258500,850,850,750,500,350,100,400,200,150,50,Gowrie,,False
FY19-20,19962,Fawkner,-37.71462129,144.960545,metro,165300,550,550,500,300,250,100,250,100,100,50,Fawkner,,False
FY19-20,19963,Merlynston,-37.72093389,144.9613135,metro,296300,1000,1000,900,500,350,150,550,200,100,50,Merlynston,,False
FY19-20,19964,Batman,-37.73352285,144.9628406,metro,257000,850,900,750,450,350,100,450,150,150,50,Batman,,False
FY19-20,19965,Coburg,-37.74234502,144.9633363,metro,508700,1650,1700,1550,950,650,150,700,450,300,50,Coburg,,False
FY19-20,19966,Moreland,-37.75448484,144.961823,metro,272400,900,900,800,500,350,50,400,200,200,50,Moreland,,False
FY19-20,19967,Anstey,-37.76124203,144.960684,metro,357050,1150,1200,1050,700,500,100,600,250,200,50,Anstey,,False
FY19-20,19968,Brunswick,-37.76772055,144.9595865,metro,304300,950,1000,850,650,450,50,350,250,300,100,Brunswick,,True
FY19-20,19969,Jewell,-37.77498702,144.9587169,metro,315750,1000,1050,850,600,450,50,350,250,350,100,Jewell,,False
FY19-20,19970,Royal Park,-37.78119293,144.9523013,metro,269450,850,850,900,550,450,50,150,250,400,50,Royal Park,,False
FY19-20,19971,Flemington Bridge,-37.78813995,144.9393233,metro,225150,750,750,650,450,300,50,250,250,200,50,Flemington Bridge,,False
FY19-20,19972,Macaulay,-37.79426673,144.9361663,metro,249450,850,900,700,400,250,50,150,200,400,50,Macaulay,,False
FY19-20,19974,Clifton Hill,-37.78865745,144.9954167,metro,709000,2250,2350,1950,1600,1100,100,1000,500,500,150,Clifton Hill,,False
FY19-20,19975,Victoria Park,-37.79915782,144.9944514,metro,612450,2000,2100,1750,1100,850,50,700,400,800,150,Victoria Park,,False
FY19-20,19976,Collingwood,-37.80452593,144.9937497,metro,460950,1550,1650,1250,800,550,50,350,300,850,100,Collingwood,,False
FY19-20,19977,North Richmond,-37.81039836,144.9925003,metro,738350,2400,2450,2100,1400,1100,50,500,550,1150,200,North Richmond,,False
FY19-20,19978,West Richmond,-37.81494896,144.9914228,metro,436500,1450,1500,1250,800,550,50,350,350,650,150,West Richmond,,False
FY19-20,19983,Macleod,-37.7260123,145.0691433,metro,469500,1600,1700,1300,750,550,200,850,300,300,50,Macleod,,False
FY19-20,19984,Watsonia,-37.71095798,145.0837934,metro,577000,1950,2050,1600,1000,650,400,1100,250,200,50,Watsonia,,False
FY19-20,19985,Greensborough,-37.70395408,145.1082474,metro,588050,1900,2000,1650,1200,800,350,950,350,300,50,Greensborough,,False
FY19-20,19986,Montmorency,-37.71529624,145.1215157,metro,254100,850,900,700,400,250,150,550,100,100,50,Montmorency,,False
FY19-20,19987,Eltham,-37.71354967,145.147822,metro,461400,1550,1650,1250,750,550,300,800,250,250,50,Eltham,,False
FY19-20,19988,Diamond Creek,-37.67329744,145.1585062,metro,151700,500,550,400,300,200,100,300,100,50,50,Diamond Creek,,False
FY19-20,19989,Wattle Glen,-37.66396792,145.1816145,metro,35850,100,150,100,50,50,50,100,50,50,50,Wattle Glen,,False
FY19-20,19990,Hurstbridge,-37.63939817,145.1920169,metro,98200,300,350,250,200,150,50,200,50,50,50,Hurstbridge,,False
FY19-20,19991,Williamstown,-37.86775292,144.9053233,metro,132850,400,450,400,250,250,50,200,100,100,50,Williamstown,,False
FY19-20,19992,Williamstown Beach,-37.86398189,144.8944837,metro,162050,550,550,450,250,200,50,250,150,150,50,Williamstown Beach,,False
FY19-20,19993,North Williamstown,-37.85733348,144.8890695,metro,289450,1000,1050,850,400,250,100,550,200,200,50,North Williamstown,,False
FY19-20,19994,Newport,-37.84271757,144.8835999,metro,1037400,3450,3600,3000,1950,1150,300,1900,650,550,150,Newport,,False
FY19-20,19995,Spotswood,-37.83063888,144.8859335,metro,273300,900,900,850,500,350,50,400,200,200,50,Spotswood,,False
FY19-20,19996,Yarraville,-37.81585044,144.8899337,metro,785800,2600,2650,2300,1450,1050,200,1400,500,400,150,Yarraville,,False
FY19-20,19997,Seddon,-37.80900514,144.8956716,metro,379400,1300,1350,1150,600,400,100,750,250,150,50,Seddon,,False
FY19-20,15351,Sunbury,-37.57909097,144.7273188,metro,628800,2050,2100,1750,1350,800,550,750,400,300,100,Sunbury,,False
FY19-20,15353,Diggers Rest,-37.62701651,144.7199224,metro,185050,650,700,550,200,150,150,400,100,50,50,Diggers Rest,,False
FY19-20,20000,Watergardens,-37.70112872,144.7741805,metro,1300950,4350,4550,3650,2250,1500,800,2200,900,500,100,Watergardens,,False
FY19-20,20001,Keilor Plains,-37.72927934,144.7937381,metro,632200,2100,2200,1800,1050,750,400,1150,400,150,50,Keilor Plains,,False
FY19-20,20002,St Albans,-37.74486131,144.8000505,metro,963000,3100,3300,2550,1900,1300,300,1300,1000,550,100,St Albans,,False
FY19-20,20003,Ginifer,-37.75751083,144.8095734,metro,659350,2150,2250,1800,1250,900,250,1000,550,350,50,Ginifer,,False
